median_blur_size,adaptive_thresh,binary_thresh,morph_kernel_size,morph_iterations,min_particle_size,max_particle_size,distance_transform_mask,foreground_threshold_ratio,dilate_iterations,total_count,big_count
1,True,0,1,1,2,200,3,0.5,3,152,2
1,True,0,1,1,3,200,3,0.5,3,152,2
1,True,0,1,2,2,200,3,0.5,3,152,2
1,True,0,1,2,3,200,3,0.5,3,152,2
1,True,0,1,3,2,200,3,0.5,3,152,2
1,True,0,1,3,3,200,3,0.5,3,152,2
1,True,0,1,4,2,200,3,0.5,3,152,2
1,True,0,1,4,3,200,3,0.5,3,152,2
1,True,0,1,5,2,200,3,0.5,3,152,2
1,True,0,1,5,3,200,3,0.5,3,152,2
1,True,0,2,1,2,200,3,0.5,3,152,2
1,True,0,2,1,3,200,3,0.5,3,152,2
1,True,0,2,2,2,200,3,0.5,3,151,2
1,True,0,2,2,3,200,3,0.5,3,151,2
1,True,0,2,3,2,200,0,0.3,1,370,3
1,True,0,2,3,2,200,3,0.5,3,151,2
1,True,0,2,3,2,200,5,0.3,1,370,3
1,True,0,2,3,3,200,0,0.3,1,370,3
1,True,0,2,3,3,200,3,0.5,3,151,2
1,True,0,2,3,3,200,5,0.3,1,370,3
1,True,0,2,4,2,200,3,0.5,3,151,2
1,True,0,2,4,3,200,3,0.5,3,151,2
1,True,0,2,5,2,200,3,0.5,3,150,2
1,True,0,2,5,3,200,3,0.5,3,150,2
1,True,0,3,1,2,200,3,0.5,3,152,2
1,True,0,3,1,3,200,3,0.5,3,152,2
1,True,0,3,2,2,200,3,0.5,3,152,2
1,True,0,3,2,3,200,3,0.5,3,152,2
1,True,0,3,3,2,200,3,0.5,3,152,2
1,True,0,3,3,3,200,3,0.5,3,152,2
1,True,0,3,4,2,200,0,0.3,2,65,2
1,True,0,3,4,2,200,5,0.3,2,65,2
1,True,0,3,4,3,200,0,0.3,2,65,2
1,True,0,3,4,3,200,5,0.3,2,65,2
1,True,0,4,1,2,200,0,0.3,1,367,3
1,True,0,4,1,2,200,3,0.5,3,152,2
1,True,0,4,1,2,200,5,0.3,1,367,3
1,True,0,4,1,3,200,0,0.3,1,367,3
1,True,0,4,1,3,200,3,0.5,3,152,2
1,True,0,4,1,3,200,5,0.3,1,367,3
1,True,0,4,2,2,200,3,0.5,3,151,2
1,True,0,4,2,3,200,3,0.5,3,151,2
1,True,0,5,1,2,200,3,0.5,3,152,2
1,True,0,5,1,3,200,3,0.5,3,152,2
1,True,0,5,2,2,200,0,0.3,2,65,2
1,True,0,5,2,2,200,5,0.3,2,65,2
1,True,0,5,2,3,200,0,0.3,2,65,2
1,True,0,5,2,3,200,5,0.3,2,65,2
1,True,0,7,1,2,200,3,0.5,3,152,2
1,True,0,7,1,3,200,3,0.5,3,152,2
